Dataset,Total Attacks,Attack Families,Techniques,Mid Position %,Start Position %,End Position %,Obfuscation %,Role-playing %,Obfuscated Dir %
nfcorpus,1500,11,12,77.67%,11.40%,10.93%,51.53%,20.53%,12.80%
fiqa,1500,11,12,76.27%,12.80%,10.93%,52.53%,20.00%,12.73%
hotpotqa,1500,11,12,76.00%,12.80%,11.20%,50.73%,20.47%,12.80%
scifact,1500,11,12,76.87%,12.73%,10.40%,52.33%,20.00%,12.80%
nq,1500,11,12,75.53%,13.40%,11.07%,49.73%,21.07%,12.73%
natural_questions,1500,11,12,75.53%,13.40%,11.07%,49.73%,21.07%,12.73%
msmarco,1500,11,12,78.07%,12.07%,9.87%,50.67%,21.20%,12.80%
hotpotqa_standalone,1500,11,12,76.40%,13.13%,10.47%,51.73%,21.33%,12.73%
synthetic,1500,11,12,76.47%,12.60%,10.93%,50.73%,21.00%,12.73%
OVERALL,13500,11,12,76.53%,N/A,N/A,51.08%,20.74%,N/A
